Totals By Breakout
Date,Lithuania,KZ,Austria,XK,Netherlands,France,SI,Finland,Egypt,KR,GE,Ukraine,HR,Ireland,MK,Japan,Belgium,Saudi Arabia,Singapore,Czech Republic,IR,Estonia,Romania,Switzerland,United States,Chile,MM,KG,Germany,BY,Denmark,Italy,AL,RS,Sweden,KH,Norway,MD,DZ,Colombia,Mexico,ME,Hong Kong,BD,China,Bulgaria,CY,Spain,India,UZ,Slovakia,Philippines,Turkey,Argentina,Portugal,Indonesia,IS,Israel,Vietnam,Taiwan,LV,Australia,PS,Hungary,MN,Poland,United Kingdom,Russia,Brazil,Canada,BA,KE,Thailand,UG,GT,QA,UAE,Morocco
2021-10-01,7,19,8,5,4,14,2,12,2,1,1,95,3,4,15,1,6,1,4,18,2,5,64,12,24,1,1,1,99,27,106,6,5,11,19,1,4,5,2,1,1,6,1,1,1,5,2,16,5,2,16,2,19,2,65,4,1,4,10,2,6,4,2,4,3,47,27,254,6,5,12,0,0,0,0,0,0,0
2021-10-02,7,19,8,5,3,15,2,13,1,1,1,98,3,3,15,1,6,1,3,18,2,5,65,12,24,1,1,1,98,27,107,5,5,12,19,1,4,5,2,1,1,6,1,1,2,5,2,17,5,2,16,1,19,3,64,5,1,4,10,2,5,4,1,4,3,46,28,259,6,4,12,0,0,0,0,0,0,0
2021-10-03,7,18,9,5,4,13,2,13,2,1,1,97,3,3,15,1,6,1,3,19,3,5,65,11,26,1,0,1,95,27,109,5,5,12,19,1,4,4,2,1,1,6,1,1,1,4,2,17,4,2,16,0,19,3,63,5,0,4,11,2,5,5,1,4,3,47,28,261,6,4,12,1,0,0,0,0,0,0
2021-10-04,7,19,9,4,3,13,2,13,2,1,1,100,3,3,15,1,6,1,3,19,2,6,67,11,26,1,0,1,97,27,109,5,4,12,17,1,4,4,2,1,1,6,1,1,1,5,2,19,4,2,15,0,19,3,64,5,0,4,11,2,5,5,1,4,3,47,29,258,6,4,12,1,0,0,0,0,0,0
2021-10-05,7,19,9,3,3,14,2,13,1,1,1,101,3,3,15,0,6,1,3,19,2,5,68,10,25,1,0,1,95,27,109,4,4,11,18,1,4,4,2,1,1,6,0,1,2,5,2,18,4,2,16,0,19,3,65,5,0,4,11,2,5,4,1,4,3,47,28,259,6,4,12,1,0,0,0,0,0,0
2021-10-06,7,19,7,3,3,14,2,13,2,1,1,102,3,3,15,1,6,1,3,19,3,5,66,10,26,1,0,1,93,28,108,4,3,11,18,1,4,4,1,1,1,6,0,1,2,5,2,18,4,2,16,0,20,3,65,5,0,4,10,2,5,4,1,4,3,47,28,258,6,4,12,1,0,0,0,0,0,0
2021-10-07,7,19,7,3,2,15,2,13,1,1,1,100,3,2,14,1,7,1,4,19,2,3,67,10,24,1,0,1,91,28,109,5,4,10,18,1,4,5,1,1,1,7,0,1,2,6,2,17,4,2,16,0,20,3,66,5,0,5,9,2,5,4,1,3,3,48,29,256,6,4,11,1,0,0,0,0,0,0
2021-10-08,7,18,7,3,3,15,2,13,1,1,1,103,3,2,14,1,7,1,5,19,1,3,69,10,24,1,0,1,91,27,108,5,4,10,18,1,5,5,1,1,1,6,0,1,2,6,2,17,4,2,16,0,21,3,66,5,1,5,9,2,5,4,1,3,3,51,29,255,6,3,11,1,1,0,0,0,0,0
2021-10-09,7,18,7,4,2,14,2,13,2,1,1,101,3,2,15,1,7,1,5,18,2,3,68,10,24,1,0,1,93,27,106,5,4,10,18,1,5,6,1,1,1,6,0,1,2,5,2,18,4,2,16,0,19,3,66,4,1,5,9,2,5,4,1,3,4,52,28,258,6,3,10,1,1,0,0,0,0,0
2021-10-10,7,18,6,4,2,14,2,13,2,1,1,104,3,3,15,1,7,1,5,18,2,3,66,10,23,1,0,1,96,26,107,5,3,11,18,1,5,6,1,1,1,6,0,1,1,5,2,19,4,2,16,0,19,3,67,4,1,5,7,2,5,4,2,4,4,52,28,252,7,3,10,0,1,0,0,0,0,0
2021-10-11,7,19,6,6,3,14,2,13,2,1,1,103,3,3,15,1,7,1,5,18,2,3,64,9,22,1,0,1,99,26,103,5,3,12,18,1,5,6,1,1,1,6,1,1,1,5,2,19,4,2,16,0,19,3,68,4,1,5,6,2,5,4,2,5,4,52,27,253,7,3,10,0,1,0,0,0,0,0
2021-10-12,7,19,5,6,3,15,2,13,2,1,1,103,3,3,15,1,7,1,5,19,2,3,63,8,23,1,0,1,98,26,103,5,2,12,19,1,5,6,1,1,1,6,0,1,1,5,2,20,4,1,15,0,19,3,68,4,1,5,7,2,5,4,2,5,4,52,28,254,7,3,10,0,1,0,0,0,0,0
2021-10-13,7,20,5,6,3,14,2,13,2,1,1,105,3,3,15,1,7,1,5,19,2,3,66,7,24,1,0,1,98,27,105,5,3,12,19,1,5,5,1,1,1,6,0,1,1,6,2,20,4,1,16,0,19,3,69,4,1,5,7,2,5,4,2,5,4,53,27,256,7,3,10,0,1,0,0,0,0,0
2021-10-14,7,20,6,8,3,14,2,13,3,1,1,105,3,3,15,1,7,1,5,20,2,3,67,7,26,1,0,1,101,27,102,4,3,12,20,1,5,5,1,1,1,7,0,1,1,7,2,20,4,1,16,0,19,3,66,4,1,4,6,3,5,4,2,5,5,55,27,254,7,3,10,0,1,0,0,0,0,0
